herbid,cid,smiles
HERB000018,HBIN019921,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
HERB000018,HBIN020363,CC=CC1=CC(=C(C=C1)O)O.CC1CC(CC(C1O)O)(C(=O)O)O
HERB000018,HBIN032938,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O
HERB000018,HBIN041495,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
HERB000019,HBIN025920,CCOC(=O)C1=CC(=C(C(=C1)O)O)O
HERB000019,HBIN027030,C1=C(C=C(C(=C1O)O)O)C(=O)O
HERB000019,HBIN033001,C1=C(C=C(C(=C1O)O)O)C2C(C(C3=C(C=C(C=C3O2)O)O)O)O
HERB000019,HBIN039582,C1=C(C=C(C=C1O)O)O
HERB000029,HBIN012667,CC1(CC(C2C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)OC(=O)C=CC4=CC(=C(C=C4)O)OC)O
HERB000029,HBIN018012,CC1=CCCC(=C)C2CC(C2CC1)(C)C
HERB000029,HBIN018110,CC12CCCC(=C)C1CC(CC2)C(C)(C)O
HERB000029,HBIN026385,CC(=CCCC(=CCCC(=CCO)C)C)C
HERB000029,HBIN026465,COC1=C(C=CC(=C1)C=CC(=O)O)[O-]
HERB000029,HBIN033245,CC1=CCC(CC1)C(=C)C
HERB000029,HBIN036067,CC(=CCCC(=C)C=C)C
HERB000031,HBIN046387,CC1=CC(=C(C=C1)C(C)C)O
HERB000032,HBIN046387,CC1=CC(=C(C=C1)C(C)C)O
HERB000034,HBIN042787,CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3C=CC56C4(CC(C7(C5CC(CC7)(C)C)CO6)O)C)C)C)O)OC8C(C(C(C(O8)CO)O)O)O)O
HERB000034,HBIN042801,CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3C=CC56C4(CC(C7(C5CC(CC7)(C)C)CO6)O)C)C)C)O)OC8C(C(C(C(O8)CO)O)O)O)O
HERB000036,HBIN000423,CCCCCCOC(C)OCC
HERB000036,HBIN000526,CCCCC=CCCCCCCCCCC(=O)O
HERB000036,HBIN001775,CC1C(CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C)O
HERB000036,HBIN001965,CC1CCC2(CCC3(C4=CCC5C(C(CCC5(C4CCC3(C2C1C)C)C)OC(=O)C)(C)C)C)C
HERB000036,HBIN004361,CC(C)CC(C)(C)O
HERB000036,HBIN004827,CC1=C(C(=O)C(CO1)O)O
HERB000036,HBIN005823,C1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2O
HERB000036,HBIN005852,CC1=C(C(=O)CCC1)C(C)C
HERB000036,HBIN005923,COC1=CC=CC=C1O
HERB000036,HBIN006002,CC1=C(C=C(C=C1)C(C)C)O
HERB000036,HBIN007291,COC1=CC(=CC(=C1OC)OC)C=O
HERB000036,HBIN007790,CC(=CCCC(C)(C=C)O)C
HERB000036,HBIN009554,CC1CC(OC1=O)C
HERB000036,HBIN010406,COC1=C(C(=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)O
HERB000036,HBIN012693,COC1C2C=COC(C2C3(C1O3)CO)OC4C(C(C(C(O4)CO)O)O)O
HERB000036,HBIN013870,C1CCC2C(O2)CC1
HERB000036,HBIN014104,CCCCCCC=CCCCCCCCC(=O)O
HERB000036,HBIN014139,C=C1C2=CC=CC=C2C3=CC=CC=C13
HERB000036,HBIN014475,CC(=O)C1=CC=CO1
HERB000036,HBIN015210,CC1CCC2C1C3C(C3(C)C)CCC2=C
HERB000036,HBIN015424,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C
HERB000036,HBIN015469,CC1CCC(C2C13C2C(=CC3)C)C(C)C
HERB000036,HBIN015475,CC1=CC=C(C=C1)C(C)CCC=C(C)C
HERB000036,HBIN015547,CC1=CCC(C=CCC(=CCC1)C)(C)C
HERB000036,HBIN016887,CC1CCC2C1C3C(C3(C)C)CCC2=C
HERB000036,HBIN017475,CC1=C2C=CC(=C2C=C(C=C1)C(C)C)C
HERB000036,HBIN017716,CCCCC=CCCCCCCCCCC1=C(C(=CC(=C1)OC)OC)O
HERB000036,HBIN017919,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O
HERB000036,HBIN018110,CC12CCCC(=C)C1CC(CC2)C(C)(C)O
HERB000036,HBIN018727,CC1(C2CCC1(C(C2)O)C)C
HERB000036,HBIN018729,CC1(C2CCC1(C(C2)O)C)C
HERB000036,HBIN019239,CC1=CC2=C(C=CC(=C2C=C1)C)C(C)C
HERB000036,HBIN019321,CC1=CCC(C2=C1C=CC(=C2)C)C(C)C
HERB000036,HBIN019449,CC1(C2CCC1(C(=O)C2)C)C
HERB000036,HBIN019502,CC1(C2CCC1(C(=O)C2)C)C
HERB000036,HBIN019830,CC1CCC(C(=CCC2C1CC2(C)C)C)O
HERB000036,HBIN020653,C1=CC=C(C=C1)C=CC=O
HERB000036,HBIN021422,CC1=CCC2C3C1C2(CCC3C(C)C)C
HERB000036,HBIN024112,CC(C)CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC(C)C
HERB000036,HBIN024875,CCOC(=O)C
HERB000036,HBIN025000,CC1(C(CCC(O1)(C)C=C)O)C
HERB000036,HBIN025026,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O
HERB000036,HBIN025445,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
HERB000036,HBIN026385,CC(=CCCC(=CCCC(=CCO)C)C)C
HERB000036,HBIN026766,CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C
HERB000036,HBIN026872,C1=COC(=C1)CO
HERB000036,HBIN026982,CCCCCCCCCCCCCC=CC(=O)O
HERB000036,HBIN027970,CC1CCC2C1C3C(C3(C)C)CCC2(C)O
HERB000036,HBIN028522,COC1=CC=CC=C1O
HERB000036,HBIN029328,CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
HERB000036,HBIN029343,CCCCCCOC(=O)C
HERB000036,HBIN029648,C1=CC=C(C=C1)CC=O
HERB000036,HBIN030018,CC1CCC2(CCC3(C4=CCC5C(C(CCC5(C4CCC3(C2C1C)C)C)O)(C)C)C)C
HERB000036,HBIN030562,CC1=CCCC(=C)C2CC(C2CC1)(C)C
HERB000036,HBIN030728,CC=CC1=CC(=C(C=C1)O)OC
HERB000036,HBIN031091,CC1CCC(C(=O)C1)C(=C)C
HERB000036,HBIN031753,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
HERB000036,HBIN032682,COC1=CC(=CC(=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
HERB000036,HBIN032754,CCCCCCCCCCCC(=O)O
HERB000036,HBIN032849,CC1CCC2C1C3C(C3(C)C)CCC2(C)O
HERB000036,HBIN033265,CC(=CCCC(C)(C=C)O)C
HERB000036,HBIN033516,CC1=CCC2C3C1C2(CCCC3(C)C)C
HERB000036,HBIN034180,CCCCC=CCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O
HERB000036,HBIN034787,CC(=CC(=O)C)C
HERB000036,HBIN035415,COC(=O)C1=CC=CC=C1O
HERB000036,HBIN035431,COC1=C(C(=CC=C1)OC)OC
HERB000036,HBIN035605,CCCCCCCCCC(=O)C
HERB000036,HBIN036092,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
HERB000036,HBIN036130,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O
HERB000036,HBIN036159,CCCCCCCCCCCCCC(=O)O
HERB000036,HBIN037299,C1=C2C(=C(C(=C1O)O)O)C3C(C(C(C(O3)CO)O)O)OC2=O
HERB000036,HBIN037517,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1(C)O)C)C(=O)O
HERB000036,HBIN037940,CC1(CC2C(CCC3(C2=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)C(C1)C(=O)O)C
HERB000036,HBIN038398,CC1=C(C=C(C=C1)C(C)C)O
HERB000036,HBIN038627,CC(=O)C1=C(C=C(C=C1)OC)O
HERB000036,HBIN039070,C1=CC=C(C=C1)CCO
HERB000036,HBIN039150,CCCCCCCCCCCCCCC(=O)O
HERB000036,HBIN039501,CC(=O)CC1=CC=CC=C1
HERB000036,HBIN039523,C1=CC=C(C=C1)C(O)O
HERB000036,HBIN039660,CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCC(C)C
HERB000036,HBIN039794,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C
HERB000036,HBIN040296,CC1CC=C(C(=O)C1)C(C)C
HERB000036,HBIN040708,CC(=CCO)C
HERB000036,HBIN041495,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
HERB000036,HBIN041663,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
HERB000036,HBIN041726,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
HERB000036,HBIN042339,CC(=CCCC(C)(C=C)O)C
HERB000036,HBIN042501,CC1=CCC(CC1)(C(C)C)O
HERB000036,HBIN043309,CC1=CCC(CC1=O)C(=C)C
HERB000036,HBIN045820,CC1=C(C=C(C=C1)N)N
HERB000036,HBIN045975,CC1=CCC(CC1)(C(C)C)O
HERB000036,HBIN046570,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1(C)O)C)C(=O)O
HERB000036,HBIN047138,COC1=C(C(=C2C3C(C(C(C(O3)CO)O)O)OC(=O)C2=C1)OC)OC
HERB000036,HBIN047261,C1C=CC=CC=C1
HERB000036,HBIN047810,COC1=C(C=C(C=C1)C(=O)O)OC
HERB000036,HBIN048368,C1=CC=C(C=C1)C=O
HERB000036,HBIN048842,CC1=CCCC(=C)C2CC(C2CC1)(C)C
HERB000036,HBIN048888,CCOC(=O)C=CC1=CC=CC=C1
HERB000036,HBIN049162,CC(=C1CCC2(CCCC(=C)C2C1)C)C
HERB000036,HBIN049211,CC1=CC2C(CCC(=C2CC1)C)C(C)C
HERB000045,HBIN027461,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O
HERB000045,HBIN027471,C1C2C(C(O1)C3=CC4=C(C=C3)OCO4)C(=O)OC2C5=C6C(=CC=C5)OCO6
HERB000046,HBIN019502,CC1(C2CCC1(C(=O)C2)C)C
HERB000047,HBIN027441,C1C=C(C2C1C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)O)CO
HERB000047,HBIN027450,COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O
HERB000047,HBIN035695,C1=CC(C2C1C(=COC2(O)OC3C(C(C(C(O3)CO)O)O)O)C(=O)O)(CO)O
HERB000051,HBIN010208,CC1C(CCC2(C1CC=C3C2CCC4(C3CCC4C(C)CCCC(C)C)C)C)O
HERB000051,HBIN046526,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)O)C)C)C)NC1
HERB000057,HBIN015547,CC1=CCC(C=CCC(=CCC1)C)(C)C
HERB000057,HBIN018094,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C
HERB000057,HBIN019502,CC1(C2CCC1(C(=O)C2)C)C
HERB000057,HBIN026067,COC1=C(C=CC(=C1)CC=C)O
HERB000057,HBIN030728,CC=CC1=CC(=C(C=C1)O)OC
HERB000057,HBIN032812,CC1=CCC(CC1=O)C(=C)C
HERB000057,HBIN033265,CC(=CCCC(C)(C=C)O)C
HERB000057,HBIN038680,CCCCCCCCCCCCCCCC(=O)O
HERB000057,HBIN039794,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C
HERB000057,HBIN043309,CC1=CCC(CC1=O)C(=C)C
HERB000066,HBIN001965,CC1CCC2(CCC3(C4=CCC5C(C(CCC5(C4CCC3(C2C1C)C)C)OC(=O)C)(C)C)C)C
HERB000066,HBIN002102,CC1(C2CCC(O1)(CC2)C)C
HERB000066,HBIN002161,CC1(C2CC=C(C1C2)CO)C
HERB000066,HBIN003305,CC(C)C12CCC(=C)C1C2
HERB000066,HBIN003326,CC1(C2CCC1(C(C2)O)C)C
HERB000066,HBIN003335,CC(C)C1=CCC(CC1)(C)O
HERB000066,HBIN003599,CC(=C)C1CC(CCC1(C)C=C)C(C)(C)O
HERB000066,HBIN004463,CC(C)C(=C)CCC(C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(=O)C5(C)C)C)C
HERB000066,HBIN004855,CC1=CC=CC(C1=O)(C)C
HERB000066,HBIN005357,C1=CC=C(C=C1)C=C(CC(=O)O)C(=O)O
HERB000066,HBIN006599,CCC(C)CO
HERB000066,HBIN007626,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC
HERB000066,HBIN008824,COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O
HERB000066,HBIN008896,CC1CCC(=C(C)C)C=C1
HERB000066,HBIN010033,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O
HERB000066,HBIN010863,CC(=C)C1CCC(=CC1)CO
HERB000066,HBIN010935,CC1=CC(=C(C=C1)C=C)C
HERB000066,HBIN012041,CC1(C2CC1CC(=C)C2)C
HERB000066,HBIN012235,CC1(CCC2(CCC3(C4CC=C5C(C4(CCC3(C2C1)C)C)CCC(=O)C5(C)C)C)C)C
HERB000066,HBIN013056,CC1(CCCC2(C1=CC(=O)O2)C)C
HERB000066,HBIN013422,CC(C)C12CCC(O1)(CC2)C
HERB000066,HBIN014399,CC(=O)NCCC1=CN(C2=C1C=C(C=C2)OC)C(=O)C3=CC=C(C=C3)Cl
HERB000066,HBIN015368,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C
HERB000066,HBIN015369,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C)C)C)C2C1C)C)C
HERB000066,HBIN015447,CC1CCC2C13CC=C(C(C3)C2(C)C)C
HERB000066,HBIN015448,CC1CCC2C13CC=C(C(C3)C2(C)C)C
HERB000066,HBIN015475,CC1=CC=C(C=C1)C(C)CCC=C(C)C
HERB000066,HBIN015476,CC1=CC=C(C=C1)C(C)CCC=C(C)C
HERB000066,HBIN015535,CC1CCC2C(C2(C)C)C3=C(CCC13)C
HERB000066,HBIN015547,CC1=CCC(C=CCC(=CCC1)C)(C)C
HERB000066,HBIN015651,CC1=CCC2CC1C2(C)C
HERB000066,HBIN015704,CC1=CCC(CC1)C(C)(C)O
HERB000066,HBIN015946,CC=C(C)C
HERB000066,HBIN015955,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C
HERB000066,HBIN016408,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
HERB000066,HBIN016887,CC1CCC2C1C3C(C3(C)C)CCC2=C
HERB000066,HBIN016950,CC(=CC(C(C)(C)C=C)O)C
HERB000066,HBIN016953,CC(=CC(=O)C(C)(C)C=C)C
HERB000066,HBIN017417,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)OC)O)OC)O
HERB000066,HBIN017418,COC1=CC2=C(C=C1)C=CC(=O)O2
HERB000066,HBIN017987,CC1=CCC(CC1)C(=C)CCC=C(C)C
HERB000066,HBIN017992,CC(C)C1CCC2(C1C3C2CCC3=C)C
HERB000066,HBIN018012,CC1=CCCC(=C)C2CC(C2CC1)(C)C
HERB000066,HBIN018026,CC(CCC=C(C)C)CCO
HERB000066,HBIN018033,CC1CCC(C2C13C2C(=C)CC3)C(C)C
HERB000066,HBIN018094,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C
HERB000066,HBIN018278,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
HERB000066,HBIN018727,CC1(C2CCC1(C(C2)O)C)C
HERB000066,HBIN018743,CC(=O)OC1CC2CCC1(C2(C)C)C
HERB000066,HBIN019298,C1=CC(=C(C=C1C=CC(=O)O)O)O
HERB000066,HBIN019449,CC1(C2CCC1(C(=O)C2)C)C
HERB000066,HBIN019502,CC1(C2CCC1(C(=O)C2)C)C
HERB000066,HBIN019786,CC1=C(C=C(C=C1)C(C)C)O
HERB000066,HBIN019795,CC1CCC(=CC1=O)C(C)C
HERB000066,HBIN019817,CC1=CCCC(=C)C2CC(C2CC1)(C)C
HERB000066,HBIN019825,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
HERB000066,HBIN019826,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
HERB000066,HBIN020251,CCCCCC(C=C)O
HERB000066,HBIN020331,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C(=O)O)C(=O)O
HERB000066,HBIN020720,COC1=C(C=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3O2)OC)OC)O
HERB000066,HBIN020831,CC1=CCC(CC1O)C(=C)C
HERB000066,HBIN021312,CC1(C2CCC(C2)C1=C)C
HERB000066,HBIN021422,CC1=CCC2C3C1C2(CCC3C(C)C)C
HERB000066,HBIN021608,C1=CC=C2C(=C1)C=CC(=O)O2
HERB000066,HBIN021904,CC(C)C1=CC=C(C=C1)C=O
HERB000066,HBIN022146,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C)C)C
HERB000066,HBIN022494,CC1CCC2CC3=C(CCC13C2(C)C)C
HERB000066,HBIN022621,CC(=CCCC(=C)C1CCC2(C1CCC3C2(CCC4C3(CCC(C4(C)C)OC(=O)C)C)C)C)C
HERB000066,HBIN022815,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
HERB000066,HBIN022819,CC1(C2CCC(C2)C1=C)C
HERB000066,HBIN023190,CC1=CC2C(CCC(=C2CC1)C)C(C)C
HERB000066,HBIN023213,CC(C)(C1CCC(=C)CC1)O
HERB000066,HBIN024321,CC1C2CC2(CC1=O)C(C)C
HERB000066,HBIN024875,CCOC(=O)C
HERB000066,HBIN024930,CCCCCC=CCC=CCCCCCCCC(=O)O
HERB000066,HBIN024978,CC(=C)C1CC(CCC1(C)C=C)C(C)(C)O
HERB000066,HBIN025796,C1=CC(=O)OC2=CC(=C(C=C21)O)O
HERB000066,HBIN026019,CC1=CC=CC(CC1=O)(C)C
HERB000066,HBIN026067,COC1=C(C=CC(=C1)CC=C)O
HERB000066,HBIN026145,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC
HERB000066,HBIN026379,CC(=CCCC(=CCCC(=C)C=C)C)C
HERB000066,HBIN026385,CC(=CCCC(=CCCC(=CCO)C)C)C
HERB000066,HBIN026449,CC(C)C1CCC2C1(CCC3(C2(CC=C4C3CCC5C4(CCC(C5(C)C)O)C)C)C)C
HERB000066,HBIN026450,CC(C)C1CCC2C1(CCC3(C2(CC=C4C3CCC5C4(CCC(=O)C5(C)C)C)C)C)C
HERB000066,HBIN026452,CC1CC(CC2=C1C(=CC(=C2)O)O)O
HERB000066,HBIN026766,CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C
HERB000066,HBIN029430,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O
HERB000066,HBIN029648,C1=CC=C(C=C1)CC=O
HERB000066,HBIN030188,C1(C(C(C(C(C1O)O)O)O)O)O
HERB000066,HBIN030190,C1(C(C(C(C(C1O)O)O)O)O)O
HERB000066,HBIN030191,Not Available
HERB000066,HBIN030497,CC1(C2CCC1(C(C2)O)C)C
HERB000066,HBIN030728,CC=CC1=CC(=C(C=C1)O)OC
HERB000066,HBIN030806,CC=CC1=CC(=C(C=C1)OC)OC
HERB000066,HBIN031021,CC1=CC(=O)C(CC1)C(=C)C
HERB000066,HBIN031091,CC1CCC(C(=O)C1)C(=C)C
HERB000066,HBIN031753,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
HERB000066,HBIN032583,CC1=CCC(CC1)C(C)(C)O
HERB000066,HBIN032812,CC1=CCC(CC1=O)C(=C)C
HERB000066,HBIN032850,CC1CCC2C1C3C(C3(C)C)CCC2(C)O
HERB000066,HBIN033245,CC1=CCC(CC1)C(=C)C
HERB000066,HBIN033262,CC(=CCCC(C)(C=C)O)C
HERB000066,HBIN033265,CC(=CCCC(C)(C=C)O)C
HERB000066,HBIN033339,CCC=CCC=CCC=CCCCCCCCC(=O)O
HERB000066,HBIN033428,CC1=CCC(CC1)C(=C)C
HERB000066,HBIN033749,CC(=C)C1CCC2(C1C3CCC4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)C
HERB000066,HBIN033803,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
HERB000066,HBIN033895,CC1=CC(=O)C2CC1C2(C)C
HERB000066,HBIN034745,CC1CCC(C(C1)O)C(C)C
HERB000066,HBIN035196,C=C1CCCC1
HERB000066,HBIN035214,COC1=C(C=C(C=C1)CC=C)OC
HERB000066,HBIN035574,CC(C)C(=O)C
HERB000066,HBIN036067,CC(=CCCC(=C)C=C)C
HERB000066,HBIN036311,CC1=CC2C(CC1)C(=C)CCC2C(C)C
HERB000066,HBIN036819,CC(=CCCC(=CCOC(=O)C)C)C
HERB000066,HBIN036826,CCC(=O)OCC=C(C)CCC=C(C)C
HERB000066,HBIN037213,CCCCCCCCCC(=O)O
HERB000066,HBIN037281,CC1(C2CCC(=C)C1C2)C
HERB000066,HBIN038398,CC1=C(C=C(C=C1)C(C)C)O
HERB000066,HBIN038680,CCCCCCCCCCCCCCCC(=O)O
HERB000066,HBIN039225,CC(=C)C1CCC(=CC1)CO
HERB000066,HBIN039790,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC)O
HERB000066,HBIN039794,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C
HERB000066,HBIN040959,CC12CCCC(C1CC(CC2)C(C)(C)O)(C)O
HERB000066,HBIN041483,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O)O
HERB000066,HBIN041495,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
HERB000066,HBIN042670,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
HERB000066,HBIN042875,CC1=CCC(C=C1)C(C)C
HERB000066,HBIN043309,CC1=CCC(CC1=O)C(=C)C
HERB000066,HBIN043437,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC
HERB000066,HBIN043445,COC1=C(C=C2C(=C1)C=CC(=O)O2)O
HERB000066,HBIN044047,CC(C)C1CCC2C1(CCC3(C2(CCC4(C3CC=C5C4CCC(C5(C)C)O)C)C)C)C
HERB000066,HBIN044177,C1=CC(=CC2=C1C=CC(=O)O2)O
HERB000066,HBIN044199,CCCCCC(C=C)O
HERB000066,HBIN044636,CC(=C)C1CCC(=CC1)C=O
HERB000066,HBIN044918,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
HERB000066,HBIN045937,CC1=CCC(=C(C)C)CC1
HERB000066,HBIN045966,CC1=CC=C(CC1)C(C)C
HERB000066,HBIN045972,CC1=CCC(CC1)(C(C)C)O
HERB000066,HBIN045975,CC1=CCC(CC1)(C(C)C)O
HERB000066,HBIN045976,CC1=CCC(CC1)C(C)(C)O
HERB000066,HBIN046370,CC1=CCC2(CC=CC(C23C1C3)(C)C)C
HERB000066,HBIN048174,CC1C2CCC3(C(C2OC1=O)C(C=CC3=O)(C)O)C
HERB000066,HBIN048175,CC(=O)OC1C(C2CCC1(C2(C)C)C)O
HERB000066,HBIN048952,CC(=CCCC(=CCCC(C)(C=C)O)C)C
HERB000067,HBIN029430,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O
HERB000068,HBIN025026,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O
HERB000075,HBIN022040,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O
HERB000076,HBIN018627,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
HERB000080,HBIN014685,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
HERB000080,HBIN014693,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
HERB000080,HBIN025193,CC1(CCCC2(C1CCC34C2CCC(C3)C(=C4)CO)C)C
HERB000085,HBIN034776,COC1=CC(=CC(=C1OC)OC)CCN
HERB000085,HBIN047435,C1=CC(=CC=C1CCN)O
HERB000085,HBIN047452,C1=CC(=CC=C1CCO)O
HERB000090,HBIN002102,CC1(C2CCC(O1)(CC2)C)C
HERB000090,HBIN002170,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C2C1O)C)C(=O)O)C
HERB000090,HBIN007477,COC1=C(C=CC(=C1)CC(=O)COC(=O)C2=CC=CC=C2)O
HERB000090,HBIN007889,COC1=C(C=CC=C1O)CC=C
HERB000090,HBIN008107,Not Available
HERB000090,HBIN009458,C1=CC=C(C=C1)C=CC=O
HERB000090,HBIN009472,C1=CC=C(C=C1)CCCOC(=O)C=CC2=CC=CC=C2
HERB000090,HBIN012270,Not Available
HERB000090,HBIN014423,CC(=O)C1=CC=CC=C1
HERB000090,HBIN014428,CC(=O)OC1=C(C=C(C=C1)C=O)OC
HERB000090,HBIN015244,C=CCOC(=O)C1=CC=CC=C1
HERB000090,HBIN015246,C=CCOC(=O)C=CC1=CC=CC=C1
HERB000090,HBIN015469,CC1CCC(C2C13C2C(=CC3)C)C(C)C
HERB000090,HBIN015476,CC1=CC=C(C=C1)C(C)CCC=C(C)C
HERB000090,HBIN015613,CC1=CC2C(CC1)C(=CCC2C(C)C)C
HERB000090,HBIN015943,CCCCCOC(=O)C=CC1=CC=CC=C1
HERB000090,HBIN017853,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
HERB000090,HBIN017987,CC1=CCC(CC1)C(=C)CCC=C(C)C
HERB000090,HBIN018781,C1=CC=C(C=C1)C(=O)O
HERB000090,HBIN019199,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
HERB000090,HBIN019449,CC1(C2CCC1(C(=O)C2)C)C
HERB000090,HBIN019502,CC1(C2CCC1(C(=O)C2)C)C
HERB000090,HBIN020010,CC1=C2CCC(C2CCC1(C)C)(C)C=C
HERB000090,HBIN020014,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
HERB000090,HBIN020653,C1=CC=C(C=C1)C=CC=O
HERB000090,HBIN020655,C1=CC=C(C=C1)COC(=O)C=CC2=CC=CC=C2
